name,diet,meal_type,cal,fat,carb,protein
Egg Breakfast Muffins Cups,high-protein,lunch,171,7,5,22
Tuna Steaks with Tomato and Basil Raw Sauce,high-protein,lunch,318,10,6,50
Smoked Sausage Breakfast Scramble,high-protein,lunch,146,4,6,21
Homemade Bacon Bits recipes,high-protein,lunch,47,0,4,7
Egg White Turkey Scramble,high-protein,lunch,140,6,2,20
Homemade Turkey Breakfast Sausage – Quick & Lean recipes,high-protein,lunch,393,7,2,79
Apple & Bacon Omelette,low-carb,lunch,234,20,5,8
Chai-Spiced Almond Butter,low-carb,lunch,292,25,13,9
Baked Eggs with Bacon Bits,low-carb,lunch,66,4,0,6
Low Carb Vegan Breakfast Bowls recipes,low-carb,lunch,1047,104,32,11
Hearty Vegetable Breakfast Casserole recipes,low-carb,lunch,523,39,24,19
Spiced Pecans,low-carb,lunch,200,19,9,2
Ham and Cheese Omelette,low-carb,lunch,505,37,6,36
Parmesan Ham Frittata,low-carb,lunch,463,36,5,27
Homemade Furikake recipes,low-carb,lunch,104,6,1,12
Honey-Chipotle Glazed Ham on the Char-Broil Big Easy,low-carb,lunch,323,21,10,21
Beautiful Poached Eggs,low-carb,lunch,62,4,0,5
Asparagus with Poached Egg recipes,low-carb,lunch,41,3,1,2
Tasty and easy to make protein recipes: Smoked salmon omelettes,low-carb,lunch,129,9,1,11
Home-made dark chocolate,low-carb,lunch,217,20,12,2
"Stuffed French Toast with Gruyere, Mustard Greens and Double-Smoked Bacon",low-carb,lunch,994,73,44,43
Make Ahead English Muffin Breakfast Sandwiches,low-carb,lunch,237,16,12,11
Banana Coconut Smoothie recipes,low-carb,lunch,1020,91,61,9
Overnight Mexican Breakfast Casserole recipes,low-carb,lunch,413,28,18,23
Breakfast Pizza Recipe with PAM cooking spray for Easy Clean up,low-carb,lunch,403,27,19,21
Moroccan Harcha Recipe - 4 Ingredients only,low-fat,lunch,220,3,41,7
Cinnamon Raisin Swirl Bread recipes,low-fat,lunch,640,8,127,16
Aam Chutney,low-fat,lunch,410,2,103,4
Ghoul-Aid Recipe,low-fat,lunch,327,0,84,0
Christmas Jam (Pectin Version),low-fat,lunch,552,0,143,0
Healthy Blueberry Muffins,low-fat,lunch,125,2,25,3
Super Green Kiwi Smoothie,low-fat,lunch,241,1,61,3
Cran-Apple Steel Cut Oats,low-fat,lunch,157,2,36,3
Healthy Green Juice,low-fat,lunch,98,1,24,3
Peach Jam,low-fat,lunch,495,0,127,1
Joslin Center Country-Style French Toast,low-fat,lunch,182,1,41,4
Slow Cooker Bread recipes,low-fat,lunch,439,2,88,15
Super Simple Sourdough Bread,low-fat,lunch,322,2,66,14
Instant Bread Vadai Recipe,low-fat,lunch,185,3,34,7
Tropi-Kale Smoothie,low-fat,lunch,187,1,45,4
Peach-Malt Beer Jam,low-fat,lunch,395,0,99,2
Cherry Vanilla Overnight Oats,low-fat,lunch,184,2,37,6
Moong Dal Vadai recipes,low-fat,lunch,47,0,8,3
"Easy, Symphonic, Crackly Bread recipes",low-fat,lunch,299,1,62,9
Grandma's Grain recipes,low-fat,lunch,462,4,95,13
Hearty Breakfast Cookies,balanced,dinner,280,13,35,7
Butternut-Yogurt Bread,balanced,dinner,179,7,22,8
Apricots in rosewater syrup with cinnamon ricotta,balanced,dinner,287,11,44,8
Minty Green Avocado Smoothie,balanced,dinner,164,5,31,4
Berry Chia Smoothie Bowl,balanced,dinner,354,13,53,13
Everything Lavash Crackers,balanced,dinner,159,5,25,4
Jumbo Cinnamon Roll Cake recipes,balanced,dinner,260,9,40,7
Blueberry Spoon Bread,balanced,dinner,193,7,28,7
Crepes Or Danish Pancakes recipes,balanced,dinner,112,4,15,5
Bacon Cheddar Pretzel Rolls,balanced,dinner,276,12,33,8
Mama's Best Buttermilk Pancakes,balanced,dinner,114,4,15,3
Superpower Loaf,balanced,dinner,341,16,48,9
Giant Baked Berry Pancake,balanced,dinner,154,6,19,5
Berry Oatmeal,balanced,dinner,436,15,61,16
Quinoa Crunch Cereal recipes,balanced,dinner,611,29,72,19
"Savory oatmeal with ricotta salata, brazil nuts and thyme",balanced,dinner,189,9,23,6
Spiced Banana-Chocolate Muffins,balanced,dinner,136,4,23,4
Salted Beer Pretzel Crescents,balanced,dinner,142,5,17,6
Protein Pumpkin Smoothie,balanced,dinner,390,11,64,19
"Drink & Dish: Red, White & Blue Gr",balanced,dinner,185,7,21,9
Finnan Haddie à la Davis Recipe,high-protein,dinner,231,5,5,39
Protein Muffin Bites,high-protein,dinner,123,1,8,19
Fish and Century Egg Congee,high-protein,dinner,183,6,8,23
Make your own jelly lollies,high-protein,dinner,53,0,5,9
English Muffin Pizza,high-protein,dinner,273,13,6,35
Healthy Banana Protein Pancakes,high-protein,dinner,43,1,3,6
High Protein Gelatin Snack Cups recipes,high-protein,dinner,110,3,4,18
Egg White Breakfast Bites,high-protein,dinner,44,2,1,6
Sweet Potato Mushroom Egg White Frittata,high-protein,dinner,163,1,11,27
The Day I Was Born With Cankles,high-protein,dinner,263,5,4,47
Hunter Chicken,low-carb,dinner,546,20,19,64
Down-on-the-Farm Breakfast Recipe,low-carb,dinner,290,22,7,14
Baked Egg Breakfast Casserole | Healthy Natural,low-carb,dinner,101,5,5,10
Jalapeno Bacon Pinwheels,low-carb,dinner,215,17,11,5
Gluten Free Breakfast Bread recipes,low-carb,dinner,233,17,12,8
Best Damn Scrambled Eggs,low-carb,dinner,170,12,3,12
Gramps Ham And Egg Bake Recipe,low-carb,dinner,363,27,11,19
Cinnamon Cacao Roasted Almonds,low-carb,dinner,90,7,5,3
Toasted Pecans,low-carb,dinner,273,29,3,2
Poached Eggs Parmesan,low-carb,dinner,302,19,4,26
Avocado Toast with Roasted Red Peppers and,low-carb,dinner,108,8,6,3
Souffle omelette with ham and gruyere cheese,low-carb,dinner,97,8,1,6
Baked eggs,low-carb,dinner,139,11,1,9
Olive Oil-Fried Eggs,low-carb,dinner,278,25,1,13
Sausage and Eggs to Go,low-carb,dinner,280,23,1,17
Healthy Appetite And Whooohoo-delish Black Sesame Seed Butter recipes,low-carb,dinner,158,13,9,4
Avocado Scrambled Eggs,low-carb,dinner,296,26,4,13
Tex-Mex Breakfast Quesadillas,low-carb,dinner,254,18,12,11
Omelet Muffins with Sausage and Cheese,low-carb,dinner,72,5,2,5
Avocado and Goat Cheese Omelet,low-carb,dinner,563,49,13,21
Peach Honey Jam recipes,low-fat,dinner,43,0,11,0
Non Alcoholic Strawberry Punch Recipe,low-fat,dinner,114,1,28,3
Cantaloupe Berry Smoothie,low-fat,dinner,193,3,41,4
Gingerbread Spice Vegan Pancakes recipes,low-fat,dinner,517,7,79,4
Tropical Fruit Smoothie Recipe,low-fat,dinner,166,1,40,3
Pomegranate Smoothie II,low-fat,dinner,156,3,32,3
Strawberry Smoothie,low-fat,dinner,83,0,21,1
Old Fashioned Peach Butter,low-fat,dinner,354,0,91,1
Readers request: Breadmaker bread,low-fat,dinner,299,5,59,10
Real Cornbread,low-fat,dinner,1432,23,261,40
P M S Smoothies,low-fat,dinner,334,2,75,9
Raw Chocolate Raspberry Smoothie,low-fat,dinner,174,1,41,4
Hot Cross Buns (No Knead),low-fat,dinner,290,3,61,6
Easy Vegan Pancakes,low-fat,dinner,409,5,79,11
Orange Cranberry Baked Oatmeal Singles recipes,low-fat,dinner,93,1,18,3
Cherry Oat Smoothie recipes,low-fat,dinner,247,3,52,8
Yummy Starburst Smoothie!,low-fat,dinner,225,1,56,3
Fruity Phirni,low-fat,dinner,225,2,42,9
Dried fruit compote,low-fat,dinner,212,1,55,2
Spiced Apple Pumpkin Bread (V) recipes,low-fat,dinner,314,3,69,8
Heather Honey Porridge Recipe,balanced,dinner,166,5,26,5
Roasted Chickpeas Snack recipes,balanced,dinner,485,17,65,20
Nine-Grain Pancake,balanced,dinner,808,30,112,31
Banana Pancakes,balanced,dinner,253,8,39,7
Beetroot Latte,balanced,dinner,127,4,18,5
Chocolate Banana Bread recipes,balanced,dinner,735,21,129,19
Kartoffelpfannkuchen (Potato Pancakes),balanced,dinner,178,6,26,5
Lighter Old Fashioned Pancakes,balanced,dinner,147,4,22,5
Healthy Double Chocolate Pancakes,balanced,dinner,295,8,52,10
Cinnamon Acai Smoothie with Truvia(R) Natural Sweetener Recipe,balanced,dinner,123,6,16,4
Baked Ricotta With Orange Blossom Cherry Sauce,balanced,dinner,284,13,36,9
Warming Quinoa Porridge,balanced,dinner,460,13,77,13
Buttery Garlic Pull-apart Bread,balanced,dinner,657,25,88,18
"Blueberry, Peanut Butter and Jelly Oatmeal (Microwaveable + Vegan) recipes",balanced,dinner,152,6,23,4
Peanut Butter and Jelly Smoothie,balanced,dinner,196,9,27,5
Tiny Christmas Tree snack,balanced,dinner,102,4,16,3
The Best Ever Fluffy Buttermilk Pancakes recipes,balanced,dinner,312,10,45,9
Banana Oat Pancakes with Peanut-Maple Sauc,balanced,dinner,266,10,37,9
Chocolate-Strawberry Panini,balanced,dinner,288,8,45,9
2 Ingredients (Eggs & Banana) Pancakes,balanced,dinner,248,11,28,12
Wasabi Soy Dipping Sauce,high-protein,dinner,26,0,3,4
Baked Egg Cups,high-protein,dinner,306,15,2,38
Chicken and Waffles Are the Best Clucking Breakfast Ever,high-protein,dinner,143,5,4,21
Salmon Toast,high-protein,dinner,354,14,1,52
Oat Flour Soak Cake,high-protein,dinner,29,0,3,4
Heart Smart® Turkey Breakfast Sausage,high-protein,dinner,85,4,0,11
Breakfast Turkey Sausage Patties,high-protein,dinner,195,10,2,25
Pretty White Garden Egg Muffins (breakfast 4),high-protein,dinner,186,7,5,25
Breakfast Sausage (Turkey),low-carb,dinner,57,3,0,7
Egg & Bacon Bundles,low-carb,dinner,704,63,1,31
Cloud Bread recipes,low-carb,dinner,50,3,1,4
Breakfast Scallops | The Rye Spice Co. Ltd,low-carb,dinner,175,13,5,9
Quick & Easy Spicy Feta Philadelphia Cream Cheese Cracker Spread recipes,low-carb,dinner,166,14,6,4
Gomasio,low-carb,dinner,34,3,1,1
A Quartet of Compound Butters,low-carb,dinner,211,23,2,0
Bacon-scallion Cream Cheese recipes,low-carb,dinner,229,22,4,5
Easy Southwestern Omelet,low-carb,dinner,402,30,5,27
Flax Meal Egg Replacer recipes,low-carb,dinner,388,30,18,17
Ground Cinnamon Primal Pancakes,low-carb,dinner,218,18,6,11
"Sausage, Egg, and Kale Strata",low-carb,dinner,486,34,15,30
"Nan's Potato, Pepper And Onion Frittata",low-carb,dinner,331,21,13,22
Stuffed Strawberries,low-carb,dinner,142,10,6,7
Skillet Breakfast,low-carb,dinner,520,36,23,28
Cretons Cremeux de Chez Nous (Traditional Creamy Cretons),low-carb,dinner,361,21,10,32
"Cheddar, Chive And Sour Cream Omelette",low-carb,dinner,114,9,1,6
Scramble Hamble,low-carb,dinner,242,16,6,19
Mushroom and Feta Breakfast Casserole recipes,low-carb,dinner,215,15,4,17
Brown Sugar and Havarti Ham Croissants recipes,low-carb,dinner,338,22,8,25
Hot Breakfast Cereal,low-fat,dinner,42,0,10,1
Breakfast Bulgur With Pears,low-fat,dinner,200,1,45,6
Pumpkin Pancakes,low-fat,dinner,182,3,32,7
Dao Suan Recipe,low-fat,dinner,59,0,11,4
Green Juice,low-fat,dinner,159,2,33,5
Christmas Time Caramel Apple Jelly,low-fat,dinner,649,1,164,1
{Healthy} Gingerbread Pancakes recipes,low-fat,dinner,130,1,26,5
Skinny Pumpkin Spice Muffins,low-fat,dinner,195,0,45,4
Chocolate Chip Banana Muffins,low-fat,dinner,53,1,11,1
Tropical Breakfast Parfait,low-fat,dinner,160,2,31,7
American Diner Style Pancakes,low-fat,dinner,118,2,22,4
Strawberry Mint Smoothie recipes,low-fat,dinner,132,1,32,2
Delicious Green Smoothie recipes,low-fat,dinner,173,1,43,2
White Batter Bread recipes,low-fat,dinner,666,10,121,23
Low-Fat Banana Muffins,low-fat,dinner,292,2,64,5
Internal Detox for Glowing Skin,low-fat,dinner,78,0,22,1
Jamba Juice Strawberry Surf Rider Smoothie recipes,low-fat,dinner,56,0,13,1
Yam Nian Gao Fritters,low-fat,dinner,137,2,26,4
Mom’s Chocolate Oatmeal,low-fat,dinner,344,6,72,10
Strawberry Smoothies recipes,low-fat,dinner,150,1,33,4
